YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-07,WEEKDAY,22,BUS,26331,31,8
2026-07,WEEKENDS/HOLIDAY,19,BUS,81201,153,176
2026-07,WEEKDAY,23,BUS,70171,296,1304
2026-07,WEEKDAY,21,BUS,67739,87,124
2026-07,WEEKDAY,7,BUS,47009,8662,6518
2026-07,WEEKENDS/HOLIDAY,0,BUS,09011,4,16
2026-07,WEEKENDS/HOLIDAY,17,BUS,40371,336,82
2026-07,WEEKDAY,19,BUS,40459,19,4263
2026-07,WEEKDAY,15,BUS,83331,17,110
2026-07,WEEKDAY,11,BUS,67549,489,493
2026-07,WEEKENDS/HOLIDAY,21,BUS,43471,126,87
2026-07,WEEKDAY,7,BUS,22529,2420,31250
2026-07,WEEKDAY,14,BUS,82171,80,186
2026-07,WEEKDAY,14,BUS,95141,88,378
2026-07,WEEKDAY,12,BUS,56091,2385,784
2026-07,WEEKDAY,10,BUS,16131,130,37
2026-07,WEEKENDS/HOLIDAY,20,BUS,75381,42,16
2026-07,WEEKENDS/HOLIDAY,19,BUS,43401,325,402
2026-07,WEEKDAY,22,BUS,16241,90,13
2026-07,WEEKENDS/HOLIDAY,8,BUS,42241,113,30
2026-07,WEEKENDS/HOLIDAY,0,BUS,43089,1,4
2026-07,WEEKENDS/HOLIDAY,22,BUS,91089,47,109
2026-07,WEEKDAY,22,BUS,43319,101,69
2026-07,WEEKENDS/HOLIDAY,15,BUS,42021,36,111
2026-07,WEEKDAY,5,BUS,80141,16,29
2026-07,WEEKENDS/HOLIDAY,18,BUS,85049,40,238
2026-07,WEEKDAY,6,BUS,76521,554,884
2026-07,WEEKDAY,5,BUS,40231,2,8
2026-07,WEEKDAY,10,BUS,95161,8,121
2026-07,WEEKDAY,10,BUS,44541,239,75
2026-07,WEEKENDS/HOLIDAY,13,BUS,62239,296,155
2026-07,WEEKDAY,22,BUS,10321,204,58
